section,key,people,papers,value,low,high
pooled_rate,led,1044,10566,0.2538,,
pooled_rate,first_not_led,885,3998,0.2231,,
pooled_rate,middle,1063,16488,0.2814,,
gap,middle_minus_led,1090,,0.0276,0.0062,0.0498
paired,median_led_share,770,,0.1818,,
paired,median_middle_share,770,,0.2500,,
paired,sign_test_p,770,,0.000292,,
venue,Bulletin of the American Physical Society,,932,0.2564,,
venue,Journal of Power Sources,,807,0.4374,,
venue,Journal of Materials Chemistry A,,657,0.3516,,
venue,ACS Applied Materials & Interfaces,,609,0.3350,,
venue,Physical review. B./Physical review. B,,593,0.2024,,
venue,Journal of Alloys and Compounds,,539,0.3785,,
venue,Chemistry of Materials,,515,0.3612,,
venue,RSC Advances,,431,0.3341,,
venue,Ceramics International,,403,0.4467,,
venue,Electrochimica Acta,,387,0.4367,,
venue,Journal of The Electrochemical Society,,373,0.2654,,
venue,International Journal of Hydrogen Energy,,357,0.3978,,
venue,Materials Science and Engineering C,,334,0.4641,,
venue,The Journal of Physical Chemistry C,,324,0.3148,,
venue,Advanced Energy Materials,,313,0.2236,,
