venue,cohort_papers,impact,top_quartile
Bulletin of the American Physical Society,932,0.0000,no
Journal of Power Sources,807,7.7508,yes
Journal of Materials Chemistry A,657,8.2263,yes
ACS Applied Materials & Interfaces,609,8.3819,yes
Physical review. B./Physical review. B,593,3.7858,no
Journal of Alloys and Compounds,539,6.0878,no
Chemistry of Materials,515,6.3869,no
RSC Advances,431,7.0696,no
Ceramics International,403,5.8687,no
Electrochimica Acta,387,4.9335,no
Journal of The Electrochemical Society,373,3.7331,no
International Journal of Hydrogen Energy,357,9.8389,yes
Materials Science and Engineering C,334,0.0000,no
The Journal of Physical Chemistry C,324,3.7534,no
Advanced Energy Materials,313,18.6303,yes
